Species,Latitude,Longitude,Observation Date,Day,Month,Year
Eschscholzia californica,32.993137,-116.742645,2023-01-23,23,1,2023
Eschscholzia californica,32.976886,-116.686172,2023-02-05,5,2,2023
Eschscholzia californica,32.976872,-116.686195,2023-02-05,5,2,2023
Eschscholzia californica,32.995072,-116.72882,2023-02-19,19,2,2023
Eschscholzia californica,32.995108,-116.728858,2023-02-19,19,2,2023
Eschscholzia californica,32.995055,-116.728867,2023-02-19,19,2,2023
Eschscholzia californica,32.99657,-116.729155,2023-02-19,19,2,2023
Eschscholzia californica,33.001717,-116.725913,2023-02-19,19,2,2023
Eschscholzia californica,33.001853,-116.725892,2023-02-19,19,2,2023
Eschscholzia californica,33.003175,-116.723175,2023-02-19,19,2,2023
Eschscholzia californica,32.977156,-116.686614,2023-02-20,20,2,2023
Eschscholzia californica,32.949178,-116.411858,2023-03-04,4,3,2023
Eschscholzia californica,33.160097,-116.540794,2023-04-01,1,4,2023
Eschscholzia californica,33.015463,-116.475003,2023-04-12,12,4,2023
Eschscholzia californica,33.01724,-116.478714,2023-04-12,12,4,2023
Eschscholzia californica,33.176638,-116.512657,2023-04-16,16,4,2023
Eschscholzia californica,33.176878,-116.513182,2023-04-16,16,4,2023
Eschscholzia californica,33.176898,-116.513559,2023-04-16,16,4,2023
Eschscholzia californica,33.176796,-116.513429,2023-04-16,16,4,2023
Eschscholzia californica,32.991492,-116.54227,2023-04-21,21,4,2023
Eschscholzia californica,32.991462,-116.542357,2023-04-21,21,4,2023
Eschscholzia californica,32.991177,-116.542724,2023-04-21,21,4,2023
Eschscholzia californica,32.993337,-116.74157,2023-04-16,16,4,2023
Eschscholzia californica,33.251872,-116.602433,2023-04-23,23,4,2023
Eschscholzia californica,33.078446,-116.594834,2023-04-28,28,4,2023
Eschscholzia californica,33.07843,-116.594974,2023-04-28,28,4,2023
Eschscholzia californica,32.975518,-116.681573,2023-04-29,29,4,2023
Eschscholzia californica,32.977104,-116.686719,2023-04-29,29,4,2023
Eschscholzia californica,32.981262,-116.684994,2023-04-29,29,4,2023
Eschscholzia californica,32.973506,-116.653703,2023-04-29,29,4,2023
Eschscholzia californica,33.077836,-116.603339,2023-05-12,12,5,2023
Eschscholzia californica,33.259422,-116.61705,2023-05-16,16,5,2023
Eschscholzia californica,33.259512,-116.616888,2023-05-16,16,5,2023
Eschscholzia californica,33.260556,-116.618074,2023-05-16,16,5,2023
Eschscholzia californica,33.0485,-116.524322,2023-05-10,10,5,2023
Eschscholzia californica,32.923937,-116.559203,2023-05-21,21,5,2023
Eschscholzia californica,33.019357,-116.793647,2023-06-03,3,6,2023
Eschscholzia californica,33.106148,-116.60811,2023-09-03,3,9,2023
Eschscholzia californica,33.258592,-116.616705,2023-11-19,19,11,2023
